run_id,variant_topic,matched_ref_topic,layer,js_distance,top10_overlap_with_ref,variant_top10,ref_top10
C_vocab_loose_s42,0,8,operational,0.49030235409736633,0.0,"terminal, performance, innovation, platform, activity, actor, cargo, operator, communication, allow","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
C_vocab_loose_s42,1,7,operational,0.5142359137535095,0.1,"ship, custom, document, msw, trade, single_window, stakeholder, cargo, country, benefit","msw, port_bar, montenegro, trade_facilitation, agency, average, administration, submit, india, format"
C_vocab_loose_s42,2,10,institutional,0.5204634666442871,0.1,"governance, government, port_authority, organization, public, state, company, change, stakeholder, authority","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_loose_s42,3,5,technology,0.560052752494812,0.3,"blockchain, actor, resilience, transaction, port_call, blockchain_technology, vessel, problem, block, terminal","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
C_vocab_loose_s42,4,11,technology,0.417331337928772,0.3,"platform, taxonomy, business_model, dimension, smart_technology, strategy, value, smart_port, market, characteristic","taxonomy, business_model, dimension, cluster, digital_platform, respective, value_add, marketplace, geographic_scope, iteration"
C_vocab_loose_s42,5,4,meta,0.6224833130836487,0.0,"seaport, integration, platform, collaboration, share, architecture, metaverse, terminal, vessel, framework","publication, cluster, trend, academic, big_data, gate, theme, wave, search, topic"
C_vocab_loose_s42,6,10,institutional,0.38420748710632324,0.1,"smart_port, industry, innovation, factor, strategy, stakeholder, performance, digital, maritime, focus","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_loose_s42,7,6,operational,0.49004802107810974,0.0,"ship, cargo, terminal, project, vessel, maritime, order, solution, area, risk","module, nmsw, ict, imo, nsw, traffic, prototype, pass, reporting, enter"
C_vocab_loose_s42,8,5,technology,0.4986572563648224,0.0,"platform, document, container, network, custom, actor, design, allow, good, share","blockchain, blockchain_technology, block, tradelen, smart_contract, layer, node, chain, bill_lading, trust"
C_vocab_loose_s42,9,10,institutional,0.662167489528656,0.0,"prototype, central_america, area, pass, investment, stack, architecture, project, network, set","governance, sustainability, digital_transformation, dimension, ecosystem, energy, sustainable, regional, smart_port, region"
C_vocab_loose_s42,10,8,operational,0.7224398851394653,0.1,"pcs, functionality, container, stakeholder, japan, naccs, module, focal_point, point, procedure","pcs, export, shipment, import, send, italy, logistic_chain, freight_forwarder, import_export, layer"
C_vocab_loose_s42,11,9,institutional,0.5855842232704163,0.1,"sustainability, energy, operational, enable, port_bar, phase, smart_port, solution, vessel, smart_gate","smart_port, indicator, smart_technology, smart, resilience, kpi, evaluation, index, weight, expert"
